Date,adj_close,Volume,log_ret,ret,entropy,entropy_norm,vol_rolling,low_entropy,signal,strategy_ret,bench_ret,strategy_ret_net
2008-06-26,4315.85009765625,0,0.014752019946292822,0.014861368032592637,1.584962500721156,1.0,0.31270174516622834,0,0,0.0,0.014861368032592637,0.0
2008-06-27,4136.64990234375,0,-0.04240805709320918,-0.04152141322281233,1.584962500721156,1.0,0.3183247690229673,0,0,-0.0,-0.04152141322281233,-0.0
2008-06-30,4040.550048828125,0,-0.023505424518432384,-0.02323132384521509,1.584962500721156,1.0,0.3060287973153936,0,0,-0.0,-0.02323132384521509,-0.0
2008-07-01,3896.75,0,-0.036237961018401016,-0.035589225994077545,1.584962500721156,1.0,0.3087858160142951,0,0,-0.0,-0.035589225994077545,-0.0
2008-07-02,4093.35009765625,0,0.049220857174104585,0.050452325054532565,1.584962500721156,1.0,0.32108776992960364,0,0,0.0,0.050452325054532565,0.0
2008-07-03,3925.75,0,-0.04180631377820185,-0.04094448157566921,1.584962500721156,1.0,0.327578555857025,0,0,-0.0,-0.04094448157566921,-0.0
2008-07-04,4016.0,0,0.022728966606501914,0.02298923772527539,1.584962500721156,1.0,0.3285063993205661,0,0,0.0,0.02298923772527539,0.0
2008-07-07,4030.0,0,0.0034799935691636496,0.003486055776892538,1.584962500721156,1.0,0.32824377462494503,0,0,0.0,0.003486055776892538,0.0
2008-07-08,3988.550048828125,0,-0.010338607384927605,-0.010285347685328738,1.584962500721156,1.0,0.32776627383440665,0,0,-0.0,-0.010285347685328738,-0.0
2008-07-09,4157.10009765625,0,0.04138997070841422,0.04225847658039217,1.584962500721156,1.0,0.3343276042660552,0,0,0.0,0.04225847658039217,0.0
2008-07-10,4162.2001953125,0,0.001226088280398324,0.0012268402339230544,1.584962500721156,1.0,0.33332929109932025,0,0,0.0,0.0012268402339230544,0.0
2008-07-11,4049.0,0,-0.027573890512452303,-0.027197200999602766,1.584962500721156,1.0,0.3359058991202613,0,0,-0.0,-0.027197200999602766,-0.0
2008-07-14,4039.699951171875,0,-0.0022995173469942992,-0.0022968754823722293,1.584962500721156,1.0,0.33574980297432,0,0,-0.0,-0.0022968754823722293,-0.0
2008-07-15,3861.10009765625,0,-0.045218277438091696,-0.04421116807544456,1.584962500721156,1.0,0.3428215077103319,0,0,-0.0,-0.04421116807544456,-0.0
2008-07-16,3816.699951171875,0,-0.011565980139766415,-0.01149935131475266,1.584962500721156,1.0,0.33262013656134454,0,0,-0.0,-0.01149935131475266,-0.0
2008-07-17,3947.199951171875,0,0.033620292297464015,0.034191841556717506,1.584962500721156,1.0,0.3371567190214404,0,0,0.0,0.034191841556717506,0.0
2008-07-18,4092.25,0,0.0360884866196913,0.03674758072112905,1.584962500721156,1.0,0.342458863563873,0,0,0.0,0.03674758072112905,0.0
2008-07-21,4159.5,0,0.016299933699478398,0.0164335023520068,1.584962500721156,1.0,0.3402981273855435,0,0,0.0,0.0164335023520068,0.0
2008-07-22,4240.10009765625,0,0.01919200216119292,0.019377352483772148,1.584962500721156,1.0,0.34183556117854574,0,0,0.0,0.019377352483772148,0.0
2008-07-23,4476.7998046875,0,0.054321584958322885,0.055824084710190514,1.584962500721156,1.0,0.3534865763264893,0,0,0.0,0.055824084710190514,0.0
2008-07-24,4433.5498046875,0,-0.009707888368776924,-0.009660918934707441,1.584962500721156,1.0,0.35377097443585753,0,0,-0.0,-0.009660918934707441,-0.0
2008-07-25,4311.85009765625,0,-0.027833504484506066,-0.02744972141794355,1.584962500721156,1.0,0.3460056506807631,0,0,-0.0,-0.02744972141794355,-0.0
2008-07-28,4332.10009765625,0,0.004685366432601327,0.00469635992471229,1.584962500721156,1.0,0.34314262304481064,0,0,0.0,0.00469635992471229,0.0
2008-07-29,4189.85009765625,0,-0.03338747836226951,-0.032836268043981764,1.584962500721156,1.0,0.33645047119754773,0,0,-0.0,-0.032836268043981764,-0.0
2008-07-30,4313.5498046875,0,0.029096228625124503,0.029523659354888654,1.584962500721156,1.0,0.33993834739029977,0,0,0.0,0.029523659354888654,0.0
2008-07-31,4332.9501953125,0,0.004487462714620029,0.004497546453252399,1.584962500721156,1.0,0.33966363828539986,0,0,0.0,0.004497546453252399,0.0
2008-08-01,4413.5498046875,0,0.018430661620246206,0.018601554539490195,1.584962500721156,1.0,0.34087055813982026,0,0,0.0,0.018601554539490195,0.0
